new_formula,composition_vector,is_superconductor
Gd1Si2Ni1,"[64, 1.0, 14, 2.0, 28, 1.0]",1
Tb1Si2Ni1,"[65, 1.0, 14, 2.0, 28, 1.0]",1
Tb3Si2Ni1,"[65, 3.0, 14, 2.0, 28, 1.0]",1
Dy1Si2Ni1,"[66, 1.0, 14, 2.0, 28, 1.0]",1
Dy3Si2Ni1,"[66, 3.0, 14, 2.0, 28, 1.0]",1
Ho1Si2Ni1,"[67, 1.0, 14, 2.0, 28, 1.0]",1
Er1Si2Ni1,"[68, 1.0, 14, 2.0, 28, 1.0]",1
Tm1Si2Ni1,"[69, 1.0, 14, 2.0, 28, 1.0]",1
Lu1Si2Ni1,"[71, 1.0, 14, 2.0, 28, 1.0]",1
Th1Si2Ni1,"[90, 1.0, 14, 2.0, 28, 1.0]",0
Y1Si2Ni2,"[39, 1.0, 14, 2.0, 28, 2.0]",1
Zr1Si2Ni2,"[40, 1.0, 14, 2.0, 28, 2.0]",1
Ba1Si2Ni2,"[56, 1.0, 14, 2.0, 28, 2.0]",1
La1Si2Ni2,"[57, 1.0, 14, 2.0, 28, 2.0]",1
Ce1Si2Ni2,"[58, 1.0, 14, 2.0, 28, 2.0]",1
Pr1Si2Ni2,"[59, 1.0, 14, 2.0, 28, 2.0]",1
Nd1Si2Ni2,"[60, 1.0, 14, 2.0, 28, 2.0]",1
Sm1Si2Ni2,"[62, 1.0, 14, 2.0, 28, 2.0]",1
Eu1Si2Ni2,"[63, 1.0, 14, 2.0, 28, 2.0]",1
Gd1Si2Ni2,"[64, 1.0, 14, 2.0, 28, 2.0]",1
Gd4Si2Ni2Bi1,"[64, 4.0, 14, 2.0, 28, 2.0, 83, 1.0]",1
Tb1Si2Ni2,"[65, 1.0, 14, 2.0, 28, 2.0]",1
Dy1Si2Ni2,"[66, 1.0, 14, 2.0, 28, 2.0]",1
Ho1Si2Ni2,"[67, 1.0, 14, 2.0, 28, 2.0]",1
Er1Si2Ni2,"[68, 1.0, 14, 2.0, 28, 2.0]",1
Tm1Si2Ni2,"[69, 1.0, 14, 2.0, 28, 2.0]",1
Lu1Si2Ni2,"[71, 1.0, 14, 2.0, 28, 2.0]",1
Hf1Si2Ni2,"[72, 1.0, 14, 2.0, 28, 2.0]",1
Th1Si2Ni2,"[90, 1.0, 14, 2.0, 28, 2.0]",1
U1Si2Ni2,"[92, 1.0, 14, 2.0, 28, 2.0]",0
Pu1Si2Ni2,"[94, 1.0, 14, 2.0, 28, 2.0]",1
Y3Si2Ni6,"[39, 3.0, 14, 2.0, 28, 6.0]",1
Ce3Si2Ni6,"[58, 3.0, 14, 2.0, 28, 6.0]",1
Gd3Si2Ni6,"[64, 3.0, 14, 2.0, 28, 6.0]",1
Dy3Si2Ni6,"[66, 3.0, 14, 2.0, 28, 6.0]",1
Ho3Si2Ni6,"[67, 3.0, 14, 2.0, 28, 6.0]",1
Er3Si2Ni6,"[68, 3.0, 14, 2.0, 28, 6.0]",1
Tm3Si2Ni6,"[69, 3.0, 14, 2.0, 28, 6.0]",1
Lu3Si2Ni6,"[71, 3.0, 14, 2.0, 28, 6.0]",1
La1Si2Ni9,"[57, 1.0, 14, 2.0, 28, 9.0]",1
Ce1Si2Ni9,"[58, 1.0, 14, 2.0, 28, 9.0]",1
Pr1Si2Ni9,"[59, 1.0, 14, 2.0, 28, 9.0]",1
Nd1Si2Ni9,"[60, 1.0, 14, 2.0, 28, 9.0]",1
Eu1Si2Ni9,"[63, 1.0, 14, 2.0, 28, 9.0]",1
Ti13Si31Ni40,"[22, 13.0, 14, 31.0, 28, 40.0]",0
Si3Ni1P4,"[14, 3.0, 28, 1.0, 15, 4.0]",1
Sc1Si3Ni1,"[21, 1.0, 14, 3.0, 28, 1.0]",1
Sc3Si3Ni1,"[21, 3.0, 14, 3.0, 28, 1.0]",1
Sc3Si3Ni2,"[21, 3.0, 14, 3.0, 28, 2.0]",1
Sr1Si3Ni1,"[38, 1.0, 14, 3.0, 28, 1.0]",1
Er3Si3Ni1,"[68, 3.0, 14, 3.0, 28, 1.0]",1
Tm3Si3Ni1,"[69, 3.0, 14, 3.0, 28, 1.0]",1
