new_formula,composition_vector,is_superconductor
Cs1K1Na2Li12Si4O16,"[55, 1.0, 19, 1.0, 11, 2.0, 3, 12.0, 14, 4.0, 8, 16.0]",1
Rb1Na3Li12Si4O16,"[37, 1.0, 11, 3.0, 3, 12.0, 14, 4.0, 8, 16.0]",1
Li1Ni2Ge1,"[3, 1.0, 28, 2.0, 32, 1.0]",1
Li1Ni2Sn1,"[3, 1.0, 28, 2.0, 50, 1.0]",1
Li1Ni6Ge6,"[3, 1.0, 28, 6.0, 32, 6.0]",1
Li1Cu2Ge1,"[3, 1.0, 29, 2.0, 32, 1.0]",1
Li1Zn1,"[3, 1.0, 30, 1.0]",1
Li1Zn13,"[3, 1.0, 30, 13.0]",1
Li1Zn1As1,"[3, 1.0, 30, 1.0, 33, 1.0]",1
Li1Zn1Sb1,"[3, 1.0, 30, 1.0, 51, 1.0]",1
Li1Ga1,"[3, 1.0, 31, 1.0]",1
Li1Ga1Ge1,"[3, 1.0, 31, 1.0, 32, 1.0]",1
Li1Ga1Se2,"[3, 1.0, 31, 1.0, 34, 2.0]",1
Li1Ga1Br3,"[3, 1.0, 31, 1.0, 35, 3.0]",1
Li1Ga1Br4,"[3, 1.0, 31, 1.0, 35, 4.0]",1
Li1Ga1Te2,"[3, 1.0, 31, 1.0, 52, 2.0]",1
Li1Ga1I3,"[3, 1.0, 31, 1.0, 53, 3.0]",1
Li1Ga1I4,"[3, 1.0, 31, 1.0, 53, 4.0]",1
Li1Ga1Ir1,"[3, 1.0, 31, 1.0, 77, 1.0]",0
Li1Ga2Rh1,"[3, 1.0, 31, 2.0, 45, 1.0]",1
Li1Ga2Pd1,"[3, 1.0, 31, 2.0, 46, 1.0]",1
Li1Ga2Ir1,"[3, 1.0, 31, 2.0, 77, 1.0]",1
Li1Ga2Pt1,"[3, 1.0, 31, 2.0, 78, 1.0]",1
Li13Si10Pd14,"[3, 13.0, 14, 10.0, 46, 14.0]",1
Li1Y1Ga4,"[3, 1.0, 39, 1.0, 31, 4.0]",1
Li13Si4,"[3, 13.0, 14, 4.0]",1
Li1Ge1,"[3, 1.0, 32, 1.0]",1
Li1Ge1Rh2,"[3, 1.0, 32, 1.0, 45, 2.0]",1
Li1Ge1Pd2,"[3, 1.0, 32, 1.0, 46, 2.0]",1
Li1Ag2Ge1,"[3, 1.0, 47, 2.0, 32, 1.0]",1
Li1In1Ge1,"[3, 1.0, 49, 1.0, 32, 1.0]",1
Li1Ge1Te2,"[3, 1.0, 32, 1.0, 52, 2.0]",1
Li1Pr1Ge1,"[3, 1.0, 59, 1.0, 32, 1.0]",1
Li1Nd1Ge1,"[3, 1.0, 60, 1.0, 32, 1.0]",1
Li1Sm1Ge1,"[3, 1.0, 62, 1.0, 32, 1.0]",1
Li1Tb1Ge1,"[3, 1.0, 65, 1.0, 32, 1.0]",1
Li1Dy1Ge1,"[3, 1.0, 66, 1.0, 32, 1.0]",1
Li1Ho1Ge1,"[3, 1.0, 67, 1.0, 32, 1.0]",1
Li1Er1Ge1,"[3, 1.0, 68, 1.0, 32, 1.0]",1
Li1Tm1Ge1,"[3, 1.0, 69, 1.0, 32, 1.0]",1
Li1Lu1Ge1,"[3, 1.0, 71, 1.0, 32, 1.0]",1
Sr1Li1Ge2,"[38, 1.0, 3, 1.0, 32, 2.0]",1
Sr2Li1In1Ge2,"[38, 2.0, 3, 1.0, 49, 1.0, 32, 2.0]",1
Ba1Li1Ge2,"[56, 1.0, 3, 1.0, 32, 2.0]",1
Li1La1Ge2,"[3, 1.0, 57, 1.0, 32, 2.0]",1
Li1Ce1Ge2,"[3, 1.0, 58, 1.0, 32, 2.0]",1
Li1Pr1Ge2,"[3, 1.0, 59, 1.0, 32, 2.0]",1
Li1Nd1Ge2,"[3, 1.0, 60, 1.0, 32, 2.0]",1
Li1Sm1Ge2,"[3, 1.0, 62, 1.0, 32, 2.0]",1
Li1Eu1Ge2,"[3, 1.0, 63, 1.0, 32, 2.0]",1
Ba2Li1Ge3,"[56, 2.0, 3, 1.0, 32, 3.0]",1
Li1Y4Ge4,"[3, 1.0, 39, 4.0, 32, 4.0]",1
Li1Pr4Ge4,"[3, 1.0, 59, 4.0, 32, 4.0]",1
Li1Nd4Ge4,"[3, 1.0, 60, 4.0, 32, 4.0]",1
Li1Ho4Ge4,"[3, 1.0, 67, 4.0, 32, 4.0]",1
Li1Er4Ge4,"[3, 1.0, 68, 4.0, 32, 4.0]",1
Li1Tm4Ge4,"[3, 1.0, 69, 4.0, 32, 4.0]",1
Li1Lu4Ge4,"[3, 1.0, 71, 4.0, 32, 4.0]",1
Li13Ga21Cu6,"[3, 13.0, 31, 21.0, 29, 6.0]",0
Li1As1,"[3, 1.0, 33, 1.0]",1
Li1As1Se2,"[3, 1.0, 33, 1.0, 34, 2.0]",1
Sr1Li1As1,"[38, 1.0, 3, 1.0, 33, 1.0]",1
Li1Cd1As1,"[3, 1.0, 48, 1.0, 33, 1.0]",1
Ba1Li1As1,"[56, 1.0, 3, 1.0, 33, 1.0]",1
Li1Eu1As1,"[3, 1.0, 63, 1.0, 33, 1.0]",1
Rb1Li1Se1,"[37, 1.0, 3, 1.0, 34, 1.0]",1
Li1Y1Se2,"[3, 1.0, 39, 1.0, 34, 2.0]",1
Li1Zr1Se2,"[3, 1.0, 40, 1.0, 34, 2.0]",1
Li1Nb1Se2,"[3, 1.0, 41, 1.0, 34, 2.0]",1
Li1In1Se2,"[3, 1.0, 49, 1.0, 34, 2.0]",1
Li1Gd1Se2,"[3, 1.0, 64, 1.0, 34, 2.0]",1
Li1Tb1Se2,"[3, 1.0, 65, 1.0, 34, 2.0]",1
Li1Dy1Se2,"[3, 1.0, 66, 1.0, 34, 2.0]",1
Li1Ho1Se2,"[3, 1.0, 67, 1.0, 34, 2.0]",1
Li1Er1Se2,"[3, 1.0, 68, 1.0, 34, 2.0]",1
Li1Hf1Se2,"[3, 1.0, 72, 1.0, 34, 2.0]",1
Li13In3,"[3, 13.0, 49, 3.0]",1
Cs1Li1Br2,"[55, 1.0, 3, 1.0, 35, 2.0]",1
Rb2Li1Dy1Br6,"[37, 2.0, 3, 1.0, 66, 1.0, 35, 6.0]",1
Rb2Li1Sn4,"[37, 2.0, 3, 1.0, 50, 4.0]",1
Rb3Li1Pb4,"[37, 3.0, 3, 1.0, 82, 4.0]",1
Sr1Li1Sb1,"[38, 1.0, 3, 1.0, 51, 1.0]",1
Sr1Li1Bi1,"[38, 1.0, 3, 1.0, 83, 1.0]",1
Li1Be1P1,"[3, 1.0, 4, 1.0, 15, 1.0]",1
Li1Be1As1,"[3, 1.0, 4, 1.0, 33, 1.0]",1
Li1Be1B1,"[3, 1.0, 4, 1.0, 5, 1.0]",1
Sr2Li1Be1B3O8,"[38, 2.0, 3, 1.0, 4, 1.0, 5, 3.0, 8, 8.0]",1
Li1Be1N1,"[3, 1.0, 4, 1.0, 7, 1.0]",1
K1Li1Be1F4,"[19, 1.0, 3, 1.0, 4, 1.0, 9, 4.0]",1
Cs1Li1Be1F4,"[55, 1.0, 3, 1.0, 4, 1.0, 9, 4.0]",1
Na2Li1Be2F7,"[11, 2.0, 3, 1.0, 4, 2.0, 9, 7.0]",1
Li1Sn4Ru1,"[3, 1.0, 50, 4.0, 44, 1.0]",1
Li14Be6B9O27,"[3, 14.0, 4, 6.0, 5, 9.0, 8, 27.0]",1
Li1Rh1,"[3, 1.0, 45, 1.0]",1
Li1In2Rh1,"[3, 1.0, 49, 2.0, 45, 1.0]",1
Li1Sn4Rh1,"[3, 1.0, 50, 4.0, 45, 1.0]",1
Li1Rh3,"[3, 1.0, 45, 3.0]",1
Li1Sn5Rh3,"[3, 1.0, 50, 5.0, 45, 3.0]",1
Li1Pd1,"[3, 1.0, 46, 1.0]",1
Li1In2Pd1,"[3, 1.0, 49, 2.0, 46, 1.0]",1
Li1Sn1Pd2,"[3, 1.0, 50, 1.0, 46, 2.0]",1
Li1Sn6Pd2,"[3, 1.0, 50, 6.0, 46, 2.0]",1
Li1Tl1Pd2,"[3, 1.0, 81, 1.0, 46, 2.0]",1
Li1Pd2Pb1,"[3, 1.0, 46, 2.0, 82, 1.0]",1
Li1Pd7,"[3, 1.0, 46, 7.0]",1
Li1Ag1,"[3, 1.0, 47, 1.0]",1
Li1In1Ag2,"[3, 1.0, 49, 1.0, 47, 2.0]",1
Li1Ag2Sn1,"[3, 1.0, 47, 2.0, 50, 1.0]",1
Li14P2N6O3,"[3, 14.0, 15, 2.0, 7, 6.0, 8, 3.0]",1
Li1Cd1,"[3, 1.0, 48, 1.0]",1
K2Li14Zr3O14,"[19, 2.0, 3, 14.0, 40, 3.0, 8, 14.0]",1
K2Li14Pb3O14,"[19, 2.0, 3, 14.0, 82, 3.0, 8, 14.0]",1
Rb2Li14Pb3O14,"[37, 2.0, 3, 14.0, 82, 3.0, 8, 14.0]",1
Li1In1,"[3, 1.0, 49, 1.0]",1
