new_formula,composition_vector
Co1U6,"[27, 1.0, 92, 6.0]"
Ni1U6,"[28, 1.0, 92, 6.0]"
B1W2,"[5, 1.0, 74, 2.0]"
Ir1Mo3,"[77, 1.0, 42, 3.0]"
Bi1,"[83, 1.0]"
Al1,"[13, 1.0]"
Ag1La1,"[47, 1.0, 57, 1.0]"
Ti1,"[22, 1.0]"
Ag1Th2,"[47, 1.0, 90, 2.0]"
Ag1Te3,"[47, 1.0, 52, 3.0]"
Al1Au4,"[13, 1.0, 79, 4.0]"
Al2Au1,"[13, 2.0, 79, 1.0]"
Al1Nb3,"[13, 1.0, 41, 3.0]"
Ag1,"[47, 1.0]"
Al2C1Mo3,"[13, 2.0, 6, 1.0, 42, 3.0]"
Be1,"[4, 1.0]"
B5Mo2,"[5, 5.0, 42, 2.0]"
Al1Cu1,"[13, 1.0, 29, 1.0]"
Al2Cu1,"[13, 2.0, 29, 1.0]"
Al2La1,"[13, 2.0, 57, 1.0]"
Ga1V3,"[31, 1.0, 23, 3.0]"
