new_formula,composition_vector
K1Si1,"[19, 1.0, 14, 1.0]"
K1La1Si1Se4,"[19, 1.0, 57, 1.0, 14, 1.0, 34, 4.0]"
K1Pr1Si1Se4,"[19, 1.0, 59, 1.0, 14, 1.0, 34, 4.0]"
K2Si1As2,"[19, 2.0, 14, 1.0, 33, 2.0]"
K2Eu1Si1Se5,"[19, 2.0, 63, 1.0, 14, 1.0, 34, 5.0]"
K3Si1Te3,"[19, 3.0, 14, 1.0, 52, 3.0]"
Ca1Si1,"[20, 1.0, 14, 1.0]"
Ca1Si1Ni2,"[20, 1.0, 14, 1.0, 28, 2.0]"
Ca1Zn1Si1,"[20, 1.0, 30, 1.0, 14, 1.0]"
Sr1Ca1Si1,"[38, 1.0, 20, 1.0, 14, 1.0]"
Ca1Si1Pd1,"[20, 1.0, 14, 1.0, 46, 1.0]"
Ba1Ca1Si1,"[56, 1.0, 20, 1.0, 14, 1.0]"
Ca1Si1Pt1,"[20, 1.0, 14, 1.0, 78, 1.0]"
Ca2Si1,"[20, 2.0, 14, 1.0]"
Ca2Si1Se4,"[20, 2.0, 14, 1.0, 34, 4.0]"
Ca2Si1Ir2,"[20, 2.0, 14, 1.0, 77, 2.0]"
Sc1Si1,"[21, 1.0, 14, 1.0]"
Sc1Mn1Si1,"[21, 1.0, 25, 1.0, 14, 1.0]"
Sc1Fe1Si1,"[21, 1.0, 26, 1.0, 14, 1.0]"
Sc1Co1Si1,"[21, 1.0, 27, 1.0, 14, 1.0]"
Sc1Si1Ni1,"[21, 1.0, 14, 1.0, 28, 1.0]"
Sc1Cu1Si1,"[21, 1.0, 29, 1.0, 14, 1.0]"
Sc1Si1Ru1,"[21, 1.0, 14, 1.0, 44, 1.0]"
Sc1Si1Rh1,"[21, 1.0, 14, 1.0, 45, 1.0]"
Sc1Si1Pd1,"[21, 1.0, 14, 1.0, 46, 1.0]"
La1Sc1Si1,"[57, 1.0, 21, 1.0, 14, 1.0]"
Gd1Sc1Si1,"[64, 1.0, 21, 1.0, 14, 1.0]"
Sc1Si1Ir1,"[21, 1.0, 14, 1.0, 77, 1.0]"
